CHEMBL3166_act	CHEMBL413215,CHEMBL108721,CHEMBL2316907,CHEMBL3634681,CHEMBL1650893,CHEMBL2396719,CHEMBL472401,CHEMBL4176838,CHEMBL574813,CHEMBL507502,CHEMBL3609373,CHEMBL1823762,CHEMBL4161709,CHEMBL1095726,CHEMBL386769,CHEMBL3402408,CHEMBL508831,CHEMBL499413,CHEMBL2316904,CHEMBL461734,CHEMBL363535,CHEMBL408337,CHEMBL4073317,CHEMBL2316910,CHEMBL2436041,CHEMBL238137,CHEMBL2316896,CHEMBL140954,CHEMBL3593819,CHEMBL2436030,CHEMBL2316906,CHEMBL509443,CHEMBL3402407,CHEMBL1801440,CHEMBL4085709,CHEMBL2316902,CHEMBL2371863,CHEMBL472004,CHEMBL386749,CHEMBL3822604,CHEMBL4175748,CHEMBL3609375,CHEMBL1650889,CHEMBL324232,CHEMBL2316895,CHEMBL1650892,CHEMBL445194,CHEMBL2316894,CHEMBL2316908,CHEMBL227075,CHEMBL2316905,CHEMBL2316903,CHEMBL3426913,CHEMBL4164960,CHEMBL371014,CHEMBL269042,CHEMBL2436032,CHEMBL3634592,CHEMBL4172149,CHEMBL3609374,CHEMBL3402409,CHEMBL2311593,CHEMBL3402404,CHEMBL238138,CHEMBL3402410,CHEMBL1650918,CHEMBL1823759,CHEMBL2396718,CHEMBL453868,CHEMBL3824236,CHEMBL187266,CHEMBL3593818,CHEMBL4214128,CHEMBL262382,CHEMBL3319356,CHEMBL2316897,CHEMBL1650891,CHEMBL502539
CHEMBL3166_inact	CHEMBL1667960,CHEMBL4091173,CHEMBL169,CHEMBL579363,CHEMBL344437,CHEMBL105795,CHEMBL499329,CHEMBL502540,CHEMBL502257,CHEMBL3706920,CHEMBL230006,CHEMBL1667958,CHEMBL336908,CHEMBL498474,CHEMBL527109,CHEMBL3596431,CHEMBL3402405,CHEMBL1822606,CHEMBL2371864,CHEMBL1161222,CHEMBL3351077,CHEMBL168,CHEMBL3402411,CHEMBL500677,CHEMBL2419083,CHEMBL2316909,CHEMBL342612,CHEMBL2371862,CHEMBL301982,CHEMBL450560,CHEMBL412186,CHEMBL1822607,CHEMBL138152,CHEMBL273780,CHEMBL3402412,CHEMBL3238181,CHEMBL472400,CHEMBL228563,CHEMBL573989,CHEMBL341806,CHEMBL393866,CHEMBL525078,CHEMBL274087,CHEMBL228397,CHEMBL497509,CHEMBL3402416,CHEMBL1823760,CHEMBL236216,CHEMBL525812,CHEMBL413492,CHEMBL498473,CHEMBL1795950,CHEMBL187460,CHEMBL1756,CHEMBL391533,CHEMBL526177
CHEMBL2034804_act	CHEMBL490162,CHEMBL210692,CHEMBL3315351,CHEMBL448297
CHEMBL2034804_inact	
CHEMBL3259492_act	CHEMBL4285028
CHEMBL3259492_inact	
CHEMBL5988_act	CHEMBL408194
CHEMBL5988_inact	
CHEMBL5626_act	CHEMBL449283,CHEMBL501622,CHEMBL505136,CHEMBL499931,CHEMBL505984,CHEMBL505392,CHEMBL508118,CHEMBL462247,CHEMBL499590,CHEMBL505574,CHEMBL449680,CHEMBL526904,CHEMBL509824,CHEMBL448828,CHEMBL508609,CHEMBL527088,CHEMBL500998,CHEMBL501435
CHEMBL5626_inact	CHEMBL453188,CHEMBL447641,CHEMBL502131,CHEMBL447403,CHEMBL444907,CHEMBL446027,CHEMBL509116,CHEMBL455033,CHEMBL453773,CHEMBL446509,CHEMBL454532,CHEMBL450821,CHEMBL446382,CHEMBL449835,CHEMBL504756,CHEMBL449059,CHEMBL454258,CHEMBL505486,CHEMBL503497,CHEMBL507076,CHEMBL504171
